"Story","Title","Result","Date","Stability","Duration (s)"
"As user i want to test page hello","GET - As a user I want to test hello page","SUCCESS","2023-05-03T19:46:21.1401885+07:00[Asia/Jakarta]","0.0","3.57"
"As user I want to see home page So that i can buy product","POST - As a user I success to login with valid data","SUCCESS","2023-05-03T19:46:24.7436357+07:00[Asia/Jakarta]","0.0","0.3"
"As user I want to see home page So that i can buy product","POST - As a user i want to login with invalid data","SUCCESS","2023-05-03T19:46:25.0676664+07:00[Asia/Jakarta]","0.0","0.68"
"As user i want to test order on website","POST - As a user I want to create a new order","SUCCESS","2023-05-03T19:46:25.7787087+07:00[Asia/Jakarta]","0.0","0.28"
"As user i want to test order on website","GET - As a user I want to list all my order","SUCCESS","2023-05-03T19:46:26.0720832+07:00[Asia/Jakarta]","0.0","0.7"
"As user i want to see product, create new product, see product by id, delete a product, see product comments","POST - As a user I want to create a new product","SUCCESS","2023-05-03T19:46:26.780716+07:00[Asia/Jakarta]","0.0","0.18"
"As user i want to see product, create new product, see product by id, delete a product, see product comments","GET - As a user I want to get all product","SUCCESS","2023-05-03T19:46:26.9712382+07:00[Asia/Jakarta]","0.0","0.89"
"As user i want to see product, create new product, see product by id, delete a product, see product comments","DELETE - As a user I want to delete a product","SUCCESS","2023-05-03T19:46:27.8747108+07:00[Asia/Jakarta]","0.0","0.13"
"As user i want to see product, create new product, see product by id, delete a product, see product comments","GET - As a user I want to see product comments","SUCCESS","2023-05-03T19:46:28.0103695+07:00[Asia/Jakarta]","0.0","0.14"
"As user i want to see categories and add new categories","POST - As a user I want to create a new kategori","SUCCESS","2023-05-03T19:46:28.1651111+07:00[Asia/Jakarta]","0.0","0.33"
"As user i want to see categories and add new categories","GET - As a user I want to get all categories","SUCCESS","2023-05-03T19:46:28.5041841+07:00[Asia/Jakarta]","0.0","0.16"
"As user i want to create account So that i can login and see home page","POST - As a user I success to create account with valid data","SUCCESS","2023-05-03T19:46:28.6766579+07:00[Asia/Jakarta]","0.0","0.32"
"As user i want to create account So that i can login and see home page","POST - As a user I failed to create account with empty password","SUCCESS","2023-05-03T19:46:29.0056159+07:00[Asia/Jakarta]","0.0","0.14"
